date,Washington DC,Baltimore,Philadelphia,Boston,Pittsburgh,St. Louis,Charlotte,Richmond,Nashville,Columbus OH
2000-01-01,197.2,96.5,183.0,180.7,90.4,120.4,77.7,41.2,66.5,75.9
2000-02-01,197.9,96.7,182.8,182.3,91.5,120.4,77.6,41.5,66.6,77.1
2000-03-01,204.2,99.8,188.7,185.1,94.5,123.1,79.8,42.9,68.6,78.8
2000-04-01,212.5,102.1,195.2,192.6,98.1,128.7,79.8,44.8,69.6,81.3
2000-05-01,218.4,105.1,199.8,197.7,104.3,133.0,82.3,46.3,71.9,83.6
2000-06-01,226.2,110.0,205.7,206.3,107.2,136.6,84.0,48.6,74.1,85.3
2000-07-01,225.1,108.7,205.2,208.8,107.0,135.1,82.5,47.9,72.9,85.2
2000-08-01,224.4,108.5,204.3,208.0,107.1,136.1,82.6,47.8,73.1,85.5
2000-09-01,219.4,105.9,201.0,202.3,103.0,132.4,80.4,45.7,73.1,83.0
2000-10-01,215.5,103.1,198.1,199.9,99.4,131.7,80.7,44.1,71.8,82.1
2000-11-01,213.8,103.1,197.9,196.5,98.2,126.9,79.0,43.4,71.4,81.4
2000-12-01,213.4,103.1,198.0,195.2,97.5,123.8,78.8,42.3,71.7,80.1
2001-01-01,201.1,95.0,182.6,185.0,93.3,119.4,76.8,41.7,68.2,78.4
2001-02-01,203.9,95.3,184.2,186.2,94.6,120.5,77.5,42.3,68.7,79.7
2001-03-01,208.7,98.2,187.8,188.8,96.7,123.6,78.4,44.7,70.4,80.6
2001-04-01,212.6,100.6,196.7,195.5,101.2,130.2,82.2,46.3,71.0,82.2
2001-05-01,219.4,103.7,204.2,203.3,107.4,134.6,83.5,47.5,71.8,84.6
2001-06-01,227.2,108.7,210.2,212.1,111.3,137.5,84.9,49.5,73.0,85.9
2001-07-01,225.3,107.5,209.9,212.9,111.0,137.8,83.3,49.5,71.5,85.6
2001-08-01,224.6,107.1,208.6,212.4,111.7,136.6,83.9,49.1,72.3,86.0
2001-09-01,215.0,104.4,203.1,204.2,104.7,132.1,81.4,46.9,71.4,83.4
2001-10-01,213.1,101.8,200.1,199.1,102.1,132.2,81.1,44.7,70.1,82.3
2001-11-01,212.1,100.3,199.5,195.9,100.7,128.0,79.3,43.4,70.0,81.3
2001-12-01,211.2,99.9,200.8,194.9,101.3,126.6,77.6,43.3,69.5,80.7
2002-01-01,202.9,96.4,187.3,184.2,96.8,121.5,75.1,41.7,67.7,80.0
2002-02-01,205.4,97.1,188.9,184.8,96.3,121.7,75.8,42.6,68.4,80.6
2002-03-01,211.2,100.4,193.2,189.8,99.0,124.5,78.2,44.6,69.9,82.4
2002-04-01,218.6,103.7,201.1,199.2,103.3,131.8,81.9,45.0,71.5,84.5
2002-05-01,225.1,107.8,207.2,207.3,109.5,134.8,83.2,46.7,71.7,87.5
2002-06-01,232.4,111.7,213.5,214.8,112.8,139.6,84.7,48.2,72.8,89.0
2002-07-01,233.0,112.3,211.7,216.2,112.6,139.2,84.2,48.3,73.5,88.8
2002-08-01,232.5,111.9,210.9,216.3,113.7,139.6,83.9,47.8,74.7,88.4
2002-09-01,227.3,107.7,207.1,208.8,110.2,134.7,82.9,45.8,74.2,86.5
2002-10-01,222.8,105.4,206.1,205.1,105.6,134.5,81.4,44.5,72.2,85.4
2002-11-01,223.1,103.8,205.0,202.5,103.3,129.6,79.9,43.5,73.2,84.8
2002-12-01,221.1,103.1,204.0,201.4,102.9,128.4,80.4,43.3,72.9,83.6
2003-01-01,214.4,99.0,193.6,189.9,97.8,122.5,77.4,42.5,70.2,80.9
2003-02-01,212.3,98.0,192.7,189.1,96.8,122.8,78.0,42.5,71.0,80.7
2003-03-01,217.5,100.5,198.0,191.8,99.0,125.0,80.6,44.9,72.4,82.2
2003-04-01,224.3,106.1,203.6,199.1,104.5,132.2,83.0,46.7,74.1,85.1
2003-05-01,231.5,110.1,211.2,209.3,110.3,136.2,87.0,48.5,75.3,87.9
2003-06-01,238.7,114.0,215.7,216.0,114.3,138.9,87.7,50.3,76.0,89.9
2003-07-01,239.1,114.2,217.8,217.5,113.9,140.1,86.0,50.0,75.2,90.5
2003-08-01,238.0,114.4,218.1,217.7,115.2,138.8,86.1,49.3,76.0,90.7
